"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2019-09-29","85.4","2.4091","5.1887","Eduardo Escobar",500871,621381,"single","hit_into_play",,,,,12,"Eduardo Escobar singles on a ground ball to center fielder Travis Jankowski.  Eduardo Escobar out at 2nd on the throw, center fielder Travis Jankowski to second baseman Greg Garcia.  ","R","R","L","ARI","SD","X",8,"ground_ball",1,0,2019,"1.6151","0.4427","1.1056","2.3898","null","null","null",0,9,"Bot","122.44","104.55",,,642336,,"190929_215220","-6.1427","-123.9770","-1.0762","17.4738","26.8662","-27.7892","3.1200","1.4600","17","79.0","-6.7","83.9040","2103","5.6280",564913,621381,642336,543333,594824,592518,649966,571976,608671,647304,"54.8720","0.112","0.102","0.90",1,1,0,2,64,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2019-09-29","85.7","-2.8304","2.5105","Eduardo Escobar",500871,642233,"single","hit_into_play_no_out",,,,,8,"Eduardo Escobar singles on a sharp ground ball to right fielder Josh Naylor.   Nick Ahmed to 3rd.  ","R","L","R","ARI","SD","X",9,"ground_ball",0,0,2019,"-1.4872","-0.6216","-0.0116","1.4521","null","null",605113,1,6,"Bot","164.02","119.75",,,642336,,"190929_205605","9.5712","-124.2711","5.0466","-17.2320","25.9762","-39.8311","3.1200","1.4600","33","106.0","-0.9","84.9830","2054","6.1160",564913,642233,642336,543333,594824,592518,649966,571976,608671,647304,"54.3839","0.458","0.401","0.90",1,1,0,4,45,"1","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CU","2019-09-29","78.1","-2.0432","6.1532","Eduardo Escobar",500871,671790,"strikeout","swinging_strike",,,,,4,"Eduardo Escobar strikes out swinging.  ","R","L","R","ARI","SD","S",2,"null",2,2,2019,"0.9143","0.3254","-0.6975","2.6028","null","null","null",0,4,"Bot","null","null",,,642336,,"190929_200553","1.2409","-113.6340","-1.3371","7.5161","20.9309","-29.4200","3.3300","1.5500","null","null","null","77.2710","null","5.7150",564913,671790,642336,543333,594824,592518,649966,571976,608671,647304,"54.7847","null","null","0.00",1,0,0,"null",26,"5","Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SL","2019-09-29","86.0","-2.1628","6.6693","Eduardo Escobar",500871,673258,"field_out","hit_into_play",,,,,13,"Eduardo Escobar grounds out softly, first baseman Eric Hosmer to pitcher Michel Baez.  ","R","L","R","ARI","SD","X",3,"ground_ball",0,0,2019,"0.1186","0.0867","-0.3952","1.1121","null","null","null",2,1,"Bot","145.76","170.96",,,642336,,"190929_192556","3.9126","-124.9960","-7.0361","0.4619","24.2749","-30.1495","3.1200","1.4600","83","39.6","31.2","85.2430","2086","5.7820",564913,673258,642336,543333,594824,592518,649966,571976,608671,647304,"54.7171","0.182","0.167","0.00",1,0,0,1,7,"1","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FS","2019-09-28","88.9","-2.5002","5.8472","Eduardo Escobar",500871,670280,"field_out","hit_into_play",,,,,9,"Eduardo Escobar lines out to shortstop Luis Urias.  ","R","L","R","ARI","SD","X",6,"line_drive",1,2,2019,"0.1226","0.1553","0.2954","1.4997",642736,502481,668942,1,7,"Bot","138.73","136.95",,,595978,,"190929_024324","6.5962","-129.2446","-4.9137","-0.0324","27.5100","-29.6092","3.0379","1.3672","156","65.3","16.8","88.8540","1527","6.3600",564912,670280,595978,543333,664034,592518,649966,571976,622534,592669,"54.1400","0.482","0.423","0.00",1,0,0,2,62,"4","Split Finger",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"CU","2019-09-28","84.3","2.1126","5.4760","Eduardo Escobar",500871,621381,"field_out","hit_into_play",,,,,5,"Eduardo Escobar grounds out, shortstop Luis Urias to first baseman Eric Hosmer.  ","R","R","L","ARI","SD","X",6,"ground_ball",0,2,2019,"-0.5459","-0.1600","0.1932","2.5033","null","null","null",0,6,"Bot","110.28","158.79",,,595978,,"190929_021503","-3.3514","-122.6574","-0.2942","-4.7023","22.1846","-33.9326","3.1718","1.4030","4","88.3","-31.1","82.7820","2595","5.0910",564912,621381,595978,543333,664034,592518,649966,571976,622534,592669,"55.4086","0.080","0.073","0.00",1,0,0,2,49,"3","Curveball",1,4,1,4,4,1,1,4,"Standard","Standard"
"SL","2019-09-28","89.8","-2.3324","5.7591","Eduardo Escobar",500871,572070,"strikeout","foul_tip",,,,,6,"Eduardo Escobar strikes out on a foul tip.  ","R","L","R","ARI","SD","S",2,"null",2,2,2019,"0.3023","-0.2004","0.6062","2.4252","null","null","null",0,4,"Bot","null","null",,,595978,,"190929_012341","6.5747","-130.5988","-1.8788","2.1228","25.4157","-34.2926","3.1265","1.4209","null","null","null","89.0970","3023","5.7150",564912,572070,595978,543333,664034,592518,649966,571976,622534,592669,"54.7845","null","null","0.00",1,0,0,"null",32,"6","Slider",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"SL","2019-09-28","91.4","-2.4779","5.8904","Eduardo Escobar",500871,572070,"field_out","hit_into_play",,,,,7,"Eduardo Escobar grounds out, second baseman Ty France to first baseman Eric Hosmer.  ","R","L","R","ARI","SD","X",4,"ground_ball",3,1,2019,"0.2018","-0.0837","-0.3415","1.8371","null","null","null",2,1,"Bot","157.75","139.95",,,595978,,"190929_002331","4.9035","-133.0171","-4.1792","1.4180","25.5197","-32.5735","3.0047","1.4295","126","99.9","8.3","90.8040","3030","5.6850",564912,572070,595978,543333,664034,592518,649966,571976,622534,592669,"54.8146","0.618","0.568","0.00",1,0,0,4,8,"5","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FS","2019-09-27","89.5","-2.0086","6.1401","Eduardo Escobar",500871,606131,"field_out","hit_into_play",,,,,13,"Eduardo Escobar grounds out, first baseman Eric Hosmer to pitcher Luis Perdomo.  ","R","L","R","ARI","SD","X",3,"ground_ball",0,0,2019,"-1.1706","0.5534","-0.3845","0.8392","null",641796,"null",2,8,"Bot","164.05","155.67",,,620443,,"190928_043251","6.3631","-129.9434","-8.1327","-14.3591","26.3444","-24.5782","3.1100","1.4700","92","48.0","25.4","88.7360","1508","5.8660",564911,606131,620443,543333,594824,592518,649966,571976,622534,592669,"54.6336","0.200","0.122","0.00",1,0,0,1,71,"1","Split Finger",6,3,6,3,3,6,6,3,"Infield shift","Standard"
"SI","2019-09-27","94.1","-2.6432","5.6906","Eduardo Escobar",500871,489334,"field_out","hit_into_play",,,,,7,"Eduardo Escobar flies out to left fielder Nick Martini.  ","R","L","R","ARI","SD","X",7,"fly_ball",1,1,2019,"-1.3340","0.9682","-0.6391","1.6376","null","null","null",1,7,"Bot","60.10","86.19",,,620443,,"190928_035736","8.1825","-136.7725","-6.9657","-18.5950","29.7020","-18.6612","3.3300","1.5500","308","86.9","30.0","94.3330","2269","6.4550",564911,489334,620443,543333,594824,592518,649966,605361,622534,592669,"54.0448","0.055","0.078","0.00",1,0,0,3,58,"3","Sinker",2,3,2,3,3,2,2,3,"Infield shift","Standard"
"FC","2019-09-27","89.2","2.3882","6.2860","Eduardo Escobar",500871,641778,"field_out","hit_into_play",,,,,13,"Eduardo Escobar lines out sharply to third baseman Manny Machado.  ","R","R","L","ARI","SD","X",5,"line_drive",1,1,2019,"-0.2448","0.8789","-0.1870","1.1357","null","null",527038,1,3,"Bot","93.84","165.47",,,620443,,"190928_023828","-5.7405","-129.5265","-8.3153","-1.5655","25.4181","-21.1176","3.1100","1.4700","153","105.7","8.2","88.0530","2501","5.5530",564911,641778,620443,543333,594824,592518,649966,605361,622534,647304,"54.9470","0.708","0.629","0.00",1,0,0,4,24,"3","Cutter",0,1,0,1,1,0,0,1,"Standard","Standard"
"FF","2019-09-27","87.4","2.3929","6.0631","Eduardo Escobar",500871,641778,"field_out","hit_into_play",,,,,6,"Eduardo Escobar lines out to center fielder Manuel Margot.  ","R","R","L","ARI","SD","X",8,"line_drive",1,0,2019,"0.9633","1.3054","0.4691","2.1717","null","null",641796,1,1,"Bot","139.73","39.63",,,620443,,"190928_015843","-6.7256","-127.2196","-6.0598","11.9861","24.6742","-16.7029","3.3300","1.5500","377","97.5","23.5","88.5050","2229","6.8390",564911,641778,620443,543333,594824,592518,649966,605361,622534,647304,"53.6605","0.428","0.559","0.00",1,0,0,5,8,"2","4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard"
"SL","2019-09-24","85.3","-1.8766","5.7897","Eduardo Escobar",500871,608678,"single","hit_into_play_no_out",,,,,8,"Eduardo Escobar singles on a ground ball to right fielder Dexter Fowler.  ","R","L","R","ARI","STL","X",9,"ground_ball",2,2,2019,"0.5159","-0.1592","-0.2523","1.5516","null","null","null",0,18,"Bot","185.31","100.49",,,425877,,"190925_080217","2.7824","-124.1882","-3.3662","4.7461","23.9374","-33.3806","3.1100","1.4700","138","98.7","9.3","84.9880","2563","5.9740",564909,608678,425877,502671,669242,572761,657557,542303,664056,451594,"54.5257","0.710","0.670","0.90",1,1,0,4,136,"5","Slider",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"CH","2019-09-24","83.5","-2.0832","6.4988","Eduardo Escobar",500871,594965,"field_out","hit_into_play",,,,,13,"Eduardo Escobar lines out to pitcher Daniel Ponce de Leon.  ","R","L","R","ARI","STL","X",1,"line_drive",0,1,2019,"-1.6088","0.5414","-1.4024","2.0898","null","null","null",0,14,"Bot","127.01","183.12",,,425877,,"190925_062803","4.5403","-121.3345","-4.6562","-16.2766","23.5798","-26.3496","3.1100","1.4700","92","78.6","7.2","82.1140","2306","5.4200",564909,594965,425877,502671,669242,572761,657557,542303,664056,451594,"55.0793","0.342","0.325","0.00",1,0,0,2,103,"2","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2019-09-24","83.7","0.8615","6.3564","Eduardo Escobar",500871,650893,"strikeout","called_strike",,,,,11,"Eduardo Escobar called out on strikes.  ","R","R","L","ARI","STL","S",2,"null",1,2,2019,"-0.3941","-1.0641","-0.9100","2.2040","null","null","null",0,12,"Bot","null","null",,,425877,,"190925_053516","-3.2714","-121.6876","-1.1657","-3.1575","22.7722","-42.3970","2.9876","1.3317","null","null","null","82.0920","2729","5.1540",564909,650893,425877,502671,669242,572761,657557,542303,664056,451594,"55.3458","null","null","0.00",1,0,0,"null",85,"4","Curveball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2019-09-24","93.1","2.3220","5.5200","Eduardo Escobar",500871,453192,"field_out","hit_into_play",,,,,12,"Eduardo Escobar flies out to center fielder Harrison Bader.  ","R","R","L","ARI","STL","X",8,"fly_ball",0,2,2019,"0.5698","1.1478","0.2365","3.3743","null","null","null",1,9,"Bot","135.67","51.24",,,425877,,"190925_043019","-6.6648","-135.5638","-2.3236","8.5198","28.5309","-17.5384","3.1100","1.4700","350","89.9","28.6","93.9190","2333","6.6510",564909,453192,425877,502671,669242,572761,657557,542303,664056,451594,"53.8485","0.075","0.097","0.00",1,0,0,3,65,"3","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"SL","2019-09-24","85.6","-2.5966","5.6973","Eduardo Escobar",500871,656427,"single","hit_into_play_no_out",,,,,4,"Eduardo Escobar singles on a ground ball to second baseman Tommy Edman, deflected by first baseman Paul Goldschmidt.  ","R","L","R","ARI","STL","X",3,"ground_ball",0,1,2019,"0.6307","0.6526","-0.4644","2.5554","null","null","null",0,7,"Bot","164.52","164.87",,,425877,,"190925_034514","3.7640","-124.6671","-2.4481","5.7714","25.6537","-25.1205","3.1100","1.4700","72","78.2","5.2","85.5650","2625","6.2730",564909,656427,425877,502671,669242,572761,657557,542303,664056,451594,"54.2261","0.270","0.256","0.90",1,1,0,2,49,"2","Slider",0,1,0,1,1,0,0,1,"Infield shift","Standard"
"SL","2019-09-24","87.0","-2.6515","5.6624","Eduardo Escobar",500871,656427,"strikeout","swinging_strike_blocked",,,,,14,"Eduardo Escobar strikes out swinging.  ","R","L","R","ARI","STL","S",2,"null",2,2,2019,"0.5142","0.3550","1.1503","0.8865","null","null","null",2,1,"Bot","null","null",,,425877,,"190925_015449","8.0808","-126.4042","-6.0100","3.9043","25.6979","-27.3269","3.4400","1.6600","null","null","null","87.2660","2472","6.5360",564909,656427,425877,502671,669242,572761,657557,542303,664056,451594,"53.9631","null","null","0.00",1,0,0,"null",7,"5","Slider",0,1,0,1,1,0,0,1,"Infield shift","Standard"
"SL","2019-09-23","87.0","-1.0850","5.1494","Eduardo Escobar",500871,593372,"strikeout","called_strike",,,,,1,"Eduardo Escobar called out on strikes.  ","R","L","R","ARI","STL","S",2,"null",3,2,2019,"1.0652","0.0640","-0.4888","2.8720","null",668942,"null",2,9,"Bot","null","null",,,425877,,"190924_050938","-0.6162","-126.2849","0.6577","10.8578","28.9624","-32.0116","3.1000","1.4600","null","null","null","84.1060","2260","4.8160",564908,593372,425877,502671,669242,572761,657557,542303,664056,451594,"55.6840","null","null","0.00",1,0,0,"null",83,"7","Slider",7,9,7,9,9,7,7,9,"Infield shift","Strategic"
"SL","2019-09-23","86.0","-2.4064","6.6073","Eduardo Escobar",500871,606149,"field_out","hit_into_play",,,,,8,"Eduardo Escobar flies out to left fielder Marcell Ozuna.  ","R","L","R","ARI","STL","X",7,"fly_ball",1,2,2019,"0.1295","-0.0817","0.1978","1.7214","null","null","null",2,7,"Bot","91.35","73.54",,,425877,,"190924_040929","5.8119","-125.0533","-5.1311","0.2390","23.2356","-32.2992","3.1000","1.4600","308","85.1","38.8","84.7470","2245","5.3370",564908,606149,425877,502671,669242,572761,657557,542303,664056,451594,"55.1622","0.010","0.017","0.00",1,0,0,3,63,"5","Slider",5,6,5,6,6,5,5,6,"Infield shift","Strategic"
"SI","2019-09-23","90.0","-1.7209","5.8672","Eduardo Escobar",500871,425794,"single","hit_into_play_score",,,,,11,"Eduardo Escobar singles on a line drive to left fielder Marcell Ozuna.   Jarrod Dyson scores.    Josh Rojas to 2nd.  ","R","L","R","ARI","STL","X",7,"line_drive",0,1,2019,"-1.0687","0.6339","-1.1076","2.3682",502481,"null",668942,1,5,"Bot","78.72","131.04",,,425877,,"190924_032821","3.8060","-131.0273","-4.0705","-13.1424","27.9771","-24.2049","3.1000","1.4600","162","75.5","14.5","90.2300","2168","6.4270",564908,425794,425877,502671,669242,572761,657557,542303,664056,451594,"54.0724","0.585","0.515","0.90",1,1,0,4,47,"2","Sinker",3,6,3,6,6,3,3,6,"Infield shift","Standard"
"CU","2019-09-23","76.9","-1.2314","6.1845","Eduardo Escobar",500871,425794,"field_out","hit_into_play",,,,,2,"Eduardo Escobar grounds out, second baseman Tommy Edman to first baseman Paul Goldschmidt.  ","R","L","R","ARI","STL","X",4,"ground_ball",3,2,2019,"1.4843","-1.1020","0.1286","2.8547","null","null",668942,2,3,"Bot","158.95","148.14",,,425877,,"190924_024441","0.2545","-111.6909","1.9600","11.9513","22.8401","-41.7707","3.1000","1.4600","109","81.5","8.8","75.4590","2680","5.6490",564908,425794,425877,502671,669242,572761,657557,542303,664056,451594,"54.8508","0.422","0.371","0.00",1,0,0,4,29,"9","Curveball",1,4,1,4,4,1,1,4,"Infield shift","Standard"
"CU","2019-09-23","74.2","-1.5500","6.1151","Eduardo Escobar",500871,425794,"field_out","hit_into_play",,,,,8,"Eduardo Escobar grounds out to first baseman Paul Goldschmidt.  ","R","L","R","ARI","STL","X",3,"ground_ball",1,1,2019,"1.6194","-1.1027","-0.2083","1.8127","null","null","null",2,1,"Bot","156.41","168.93",,,425877,,"190924_015553","-0.0130","-107.7507","0.4756","12.0969","22.4839","-40.8145","3.1000","1.4600","8","86.8","-13.4","72.4930","2747","5.5650",564908,425794,425877,502671,669242,572761,657557,542303,664056,451594,"54.9347","0.112","0.122","0.00",1,0,0,2,9,"3","Curveball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2019-09-22","94.3","-2.4733","5.4801","Eduardo Escobar",500871,489446,"field_out","hit_into_play",,,,,3,"Eduardo Escobar pops out to shortstop Luis Urias.  ","R","L","R","SD","ARI","X",6,"popup",2,2,2019,"-1.0350","1.0098","0.3361","2.8270","null","null",668942,2,9,"Top","124.05","122.97",,,642336,,"190922_233832","9.4481","-136.8844","-3.3682","-14.7926","28.4269","-19.1841","3.0209","1.4700","null","80.0","69.0","93.5110","2116","5.8270",566352,489446,642336,623180,594824,664034,649966,571976,622534,592669,"54.6723","0.002","0.000","0.00",1,0,0,3,77,"6","4-Seam Fastball",4,4,4,4,4,4,4,4,"Infield shift","Standard"
"SI","2019-09-22","94.3","-2.4499","5.4260","Eduardo Escobar",500871,489334,"single","hit_into_play_no_out",,,,,8,"Eduardo Escobar singles on a sharp line drive to right fielder Hunter Renfroe.  ","R","L","R","SD","ARI","X",9,"line_drive",3,2,2019,"-1.1318","0.5718","0.0512","1.7896","null","null","null",2,7,"Top","185.49","71.68",,,642336,,"190922_224212","9.0239","-137.0927","-5.0683","-16.1965","27.5275","-24.0831","3.3200","1.5500","230","103.2","14.3","94.7320","1989","6.3870",566352,489334,642336,571976,664034,623180,649966,605361,622534,592669,"54.1123","0.745","0.789","0.90",1,1,0,4,58,"6","Sinker",4,4,4,4,4,4,4,4,"Infield shift","Standard"
"CH","2019-09-22","85.5","2.5957","5.5476","Eduardo Escobar",500871,572362,"field_out","hit_into_play",,,,,14,"Eduardo Escobar grounds out, shortstop Luis Urias to first baseman Wil Myers.   Abraham Almonte to 3rd.  ","R","R","L","SD","ARI","X",6,"ground_ball",2,2,2019,"0.5460","0.2542","0.9324","1.5910","null",501659,"null",1,5,"Top","122.23","155.68",,,595978,,"190922_215120","-4.9691","-124.5325","-3.6427","6.4907","20.6172","-29.1275","3.1000","1.4700","3","93.1","-31.1","85.6140","1366","5.9220",566352,572362,595978,571976,664034,623180,649966,605361,622534,592669,"54.5774","0.090","0.075","0.00",1,0,0,2,39,"6","Changeup",2,4,4,2,4,2,4,2,"Standard","Standard"
"FT","2019-09-22","98.4","-1.8926","5.3111","Eduardo Escobar",500871,642770,"field_out","hit_into_play",,,,,14,"Eduardo Escobar grounds out, second baseman Ty France to first baseman Wil Myers.  ","R","L","R","SD","ARI","X",4,"ground_ball",0,0,2019,"-1.5095","0.7447","0.1160","0.8342","null",501659,668942,2,2,"Top","154.93","152.04",,,595978,,"190922_204740","8.8281","-142.8169","-8.3394","-22.3985","30.0342","-20.4984","3.1000","1.4700","27","84.0","0.8","97.9970","2361","6.0110",566352,642770,595978,571976,664034,623180,649966,605361,622534,592669,"54.4881","0.265","0.228","0.00",1,0,0,2,15,"1","2-Seam Fastball",0,4,4,0,4,0,4,0,"Infield shift","Standard"
"FT","2019-09-22","95.6","-2.5641","5.7667","Eduardo Escobar",500871,572070,"field_out","hit_into_play",,,,,1,"Eduardo Escobar flies out to right fielder Hunter Renfroe.  ","R","L","R","SD","ARI","X",9,"fly_ball",0,0,2019,"-0.3672","0.9431","-0.3827","2.9156","null","null","null",2,1,"Top","200.36","72.70",,,595978,,"190922_202014","6.4743","-138.9004","-3.9053","-6.1019","31.2134","-19.6092","3.3700","1.6000","368","97.0","36.3","94.4530","2894","5.7110",566352,572070,595978,571976,664034,623180,649966,605361,622534,592669,"54.7882","0.190","0.294","0.00",1,0,0,3,3,"1","2-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CH","2019-09-21","86.6","-1.6547","6.6802","Eduardo Escobar",500871,673258,"single","hit_into_play_score",,,,,13,"Eduardo Escobar singles on a ground ball to right fielder Hunter Renfroe.   Domingo Leyba scores.  ","R","L","R","SD","ARI","X",9,"ground_ball",3,2,2019,"-1.2279","0.3365","-1.2331","2.1432","null",642736,"null",2,8,"Top","165.84","109.04",,,642336,,"190922_030506","3.4363","-125.8955","-5.2596","-13.5455","25.0584","-27.8360","3.1000","1.4700","117","82.4","7.5","85.9480","1609","5.8800",566351,673258,642336,543333,594824,592518,649966,605361,622534,592669,"54.6198","0.350","0.331","0.90",1,1,0,4,56,"7","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
"CH","2019-09-21","84.1","2.4017","4.9613","Eduardo Escobar",500871,621381,"field_out","hit_into_play_score",,,,,14,"Eduardo Escobar grounds out, third baseman Manny Machado to first baseman Eric Hosmer.   Abraham Almonte scores.    Domingo Leyba to 2nd.  ","R","R","L","SD","ARI","X",5,"ground_ball",1,1,2019,"1.5171","0.1833","1.0933","1.7024",501659,"null",642736,1,6,"Top","116.17","174.45",,,642336,,"190922_021805","-5.8957","-122.1360","-1.4532","16.0203","25.2674","-30.3447","3.1000","1.4700","4","66.4","-23.2","82.9140","2039","5.7240",566351,621381,642336,543333,594824,592518,649966,647304,622534,592669,"54.7755","0.048","0.034","0.00",1,0,0,2,38,"3","Changeup",1,1,1,1,1,1,1,1,"Standard","Standard"
"CU","2019-09-21","79.1","-0.9998","6.6135","Eduardo Escobar",500871,615698,"double","hit_into_play_no_out",,,,,8,"Eduardo Escobar doubles (29) on a line drive to right fielder Hunter Renfroe.  ","R","L","R","SD","ARI","X",9,"line_drive",0,0,2019,"0.2801","-0.1164","-0.2194","1.5048","null","null","null",1,4,"Top","187.86","139.39",,,642336,,"190922_013030","1.1794","-115.1404","-4.1271","2.2213","20.2663","-32.7016","3.1000","1.4700","203","74.4","23.1","78.1930","2267","5.5130",566351,615698,642336,543333,594824,592518,649966,647304,622534,592669,"54.9861","0.935","0.844","1.25",1,1,1,4,21,"1","Curveball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"FT","2019-09-21","95.8","-1.0721","6.4758","Eduardo Escobar",500871,615698,"strikeout","swinging_strike",,,,,13,"Eduardo Escobar strikes out swinging.  ","R","L","R","SD","ARI","S",2,"null",3,2,2019,"-1.2392","1.1728","-1.1472","1.9020","null","null","null",1,1,"Top","null","null",,,642336,,"190922_004810","2.6116","-139.3807","-9.1668","-16.8071","29.9497","-15.0304","3.1000","1.4700","null","null","null","96.2030","1993","6.4310",566351,615698,642336,543333,594824,592518,649966,647304,622534,592669,"54.0687","null","null","0.00",1,0,0,"null",3,"8","2-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"FS","2019-09-20","88.1","-2.4197","5.9040","Eduardo Escobar",500871,670280,"strikeout","called_strike",,,,,1,"Eduardo Escobar called out on strikes.  ","R","L","R","SD","ARI","S",2,"null",2,2,2019,"0.0453","0.3177","-0.7396","3.2389",608348,668942,"null",2,7,"Top","null","null",,,620443,,"190921_041227","3.9338","-127.9533","-0.9025","-0.4474","30.2016","-28.8754","3.3400","1.5600","null","null","null","86.4410","1431","5.6650",566350,670280,620443,543333,594824,592518,649966,605361,622534,647304,"54.8344","null","null","0.00",1,0,0,"null",51,"5","Split Finger",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2019-09-20","93.4","2.0719","6.0122","Eduardo Escobar",500871,641778,"field_out","hit_into_play",,,,,1,"Eduardo Escobar flies out to left fielder Nick Martini.  ","R","R","L","SD","ARI","X",7,"fly_ball",3,2,2019,"0.8256","1.2558","-0.3111","3.0169","null","null","null",1,5,"Top","40.78","79.49",,,620443,,"190921_033328","-7.9579","-135.7283","-4.6813","12.0106","31.4376","-15.8498","3.1400","1.4900","344","99.8","43.9","93.2040","2270","6.3800",566350,641778,620443,543333,594824,592518,649966,605361,622534,647304,"54.1196","0.058","0.102","0.00",1,0,0,3,34,"7","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2019-09-20","92.5","2.0150","6.1431","Eduardo Escobar",500871,641778,"field_out","hit_into_play",,,,,11,"Eduardo Escobar flies out to left fielder Nick Martini.  ","R","R","L","SD","ARI","X",7,"fly_ball",2,1,2019,"0.7120","1.5023","-0.6966","3.4639","null","null","null",1,3,"Top","43.74","111.95",,,620443,,"190921_025522","-8.4254","-134.4262","-4.2320","10.4359","29.9531","-13.4020","3.1400","1.4900","281","83.6","44.1","92.0780","2389","6.1720",566350,641778,620443,543333,594824,592518,649966,605361,622534,647304,"54.3277","0.005","0.004","0.00",1,0,0,3,18,"4","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2019-09-20","94.8","2.3967","5.9690","Eduardo Escobar",500871,641778,"field_out","hit_into_play",,,,,5,"Eduardo Escobar flies out to right fielder Josh Naylor.  ","R","R","L","SD","ARI","X",9,"fly_ball",2,2,2019,"0.8750","1.4081","0.1088","2.5466","null","null","null",2,1,"Top","203.12","87.33",,,620443,,"190921_021658","-7.9189","-137.7754","-6.4110","12.8473","29.5369","-13.0665","3.3400","1.5600","320","94.2","42.4","94.8320","2336","6.2980",566350,641778,620443,543333,594824,592518,649966,605361,622534,647304,"54.2011","0.038","0.045","0.00",1,0,0,3,3,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2019-09-18","80.0","2.9708","5.3148","Eduardo Escobar",500871,650671,"single","hit_into_play_no_out",,,,,3,"Eduardo Escobar singles on a ground ball to left fielder Austin Dean.  ","R","R","L","ARI","MIA","X",7,"ground_ball",2,2,2019,"-0.8545","-0.2172","0.3956","3.1300","null","null","null",1,7,"Bot","101.15","89.34",,,595751,,"190918_215231","-4.0589","-116.2950","2.2503","-6.8707","20.9716","-34.7510","3.0911","1.5600","81","98.5","3.2","79.2090","2592","5.7080",564907,650671,595751,435522,656371,516770,500743,621573,642423,623912,"54.7919","0.560","0.504","0.90",1,1,0,4,59,"5","Curveball",5,3,5,3,3,5,5,3,"Standard","Standard"
"CH","2019-09-18","90.5","-2.3057","5.9653","Eduardo Escobar",500871,645261,"field_out","hit_into_play",,,,,13,"Eduardo Escobar grounds out, pitcher Sandy Alcantara to first baseman Neil Walker.  ","R","L","R","ARI","MIA","X",1,"ground_ball",3,2,2019,"-1.4589","0.3842","-0.3969","1.3309","null","null","null",1,5,"Bot","124.47","183.12",,,595751,,"190918_210937","7.7362","-131.4033","-6.3627","-18.2457","26.8902","-26.7147","3.0950","1.4700","null","82.9","-20.7","89.7520","2127","5.8740",564907,645261,595751,435522,656371,516770,500743,621573,642423,623912,"54.6257","0.075","0.065","0.00",1,0,0,2,42,"7","Changeup",4,3,4,3,3,4,4,3,"Infield shift","Standard"
"CH","2019-09-18","89.5","-2.5661","6.0100","Eduardo Escobar",500871,645261,"field_out","hit_into_play",,,,,13,"Eduardo Escobar grounds out, shortstop Miguel Rojas to first baseman Neil Walker.  ","R","L","R","ARI","MIA","X",6,"ground_ball",0,1,2019,"-1.5426","0.4684","-1.3259","1.8877","null","null","null",0,3,"Bot","112.81","154.73",,,595751,,"190918_203331","6.0966","-129.8753","-4.9878","-18.2147","28.1565","-26.2327","3.0640","1.4700","5","68.7","-18.2","87.8310","2012","5.4750",564907,645261,595751,435522,656371,516770,500743,621573,642423,623912,"55.0244","0.052","0.049","0.00",1,0,0,2,26,"2","Changeup",3,2,3,2,2,3,3,2,"Strategic","Standard"
